C,threshold,consecutive,false_alerts,benign_hours,fah,detected,runs,detection,ttd,telemetry_fault_identification_rate
0.003,0.7,30,7,7.466666666666667,0.9375,68,120,0.5666666666666667,147.49827266309876,1.0
0.003,0.7,32,6,7.466666666666667,0.8035714285714286,65,120,0.5416666666666666,157.49827036214992,1.0
0.003,0.7,36,6,7.466666666666667,0.8035714285714286,63,120,0.525,177.4981709108688,1.0
0.003,0.7,38,6,7.466666666666667,0.8035714285714286,60,120,0.5,187.49814940802753,1.0
0.003,0.7,40,4,7.466666666666667,0.5357142857142857,57,120,0.475,197.49814974190667,1.0
0.003,0.7,42,3,7.466666666666667,0.4017857142857143,55,120,0.4583333333333333,207.4981709108688,1.0
0.003,0.7,44,3,7.466666666666667,0.4017857142857143,54,120,0.45,217.49816032638773,1.0
0.003,0.7,48,3,7.466666666666667,0.4017857142857143,53,120,0.44166666666666665,237.49814974190667,1.0
0.003,0.7,52,3,7.466666666666667,0.4017857142857143,51,120,0.425,257.4981709108688,1.0
0.003,0.7,56,1,7.466666666666667,0.13392857142857142,50,120,0.4166666666666667,277.49822063650936,1.0
0.003,0.7,60,1,7.466666666666667,0.13392857142857142,50,120,0.4166666666666667,297.49827266309876,1.0
0.003,0.8,1,77,7.466666666666667,10.3125,113,120,0.9416666666666667,7.491680916049518,1.0
0.003,0.8,2,54,7.466666666666667,7.232142857142857,102,120,0.85,12.494032145943493,1.0
0.003,0.8,3,40,7.466666666666667,5.357142857142857,100,120,0.8333333333333334,17.498091875575483,1.0
0.003,0.8,4,26,7.466666666666667,3.482142857142857,93,120,0.775,22.498149741906673,1.0
0.003,0.8,5,20,7.466666666666667,2.6785714285714284,89,120,0.7416666666666667,27.498149741906673,1.0
0.003,0.8,6,12,7.466666666666667,1.6071428571428572,86,120,0.7166666666666667,32.49836828443222,1.0
0.003,0.8,8,9,7.466666666666667,1.2053571428571428,81,120,0.675,42.49842630303465,1.0
0.003,0.8,10,8,7.466666666666667,1.0714285714285714,72,120,0.6,52.497472693561576,1.0
0.003,0.8,12,7,7.466666666666667,0.9375,67,120,0.5583333333333333,62.49688929296099,1.0
0.003,0.8,16,6,7.466666666666667,0.8035714285714286,62,120,0.5166666666666667,82.49457062594593,1.0
0.003,0.8,20,6,7.466666666666667,0.8035714285714286,61,120,0.5083333333333333,102.49688929296099,1.0
0.003,0.8,22,5,7.466666666666667,0.6696428571428571,59,120,0.49166666666666664,112.49688929296099,1.0
0.003,0.8,24,5,7.466666666666667,0.6696428571428571,58,120,0.48333333333333334,122.49747269356158,1.0
0.003,0.8,26,4,7.466666666666667,0.5357142857142857,56,120,0.4666666666666667,132.49747269356158,1.0
0.003,0.8,28,4,7.466666666666667,0.5357142857142857,56,120,0.4666666666666667,142.49747269356158,1.0
0.003,0.8,30,4,7.466666666666667,0.5357142857142857,53,120,0.44166666666666665,152.496889292961,1.0
0.003,0.8,32,3,7.466666666666667,0.4017857142857143,53,120,0.44166666666666665,162.496889292961,1.0
0.003,0.8,36,2,7.466666666666667,0.26785714285714285,52,120,0.43333333333333335,182.49457062594593,1.0
0.003,0.8,38,1,7.466666666666667,0.13392857142857142,52,120,0.43333333333333335,192.49747269356158,1.0
0.003,0.8,40,1,7.466666666666667,0.13392857142857142,48,120,0.4,202.49457062594593,1.0
0.003,0.8,42,1,7.466666666666667,0.13392857142857142,46,120,0.38333333333333336,212.49747269356158,1.0
0.003,0.8,44,1,7.466666666666667,0.13392857142857142,44,120,0.36666666666666664,222.49457062594593,1.0
0.003,0.8,48,1,7.466666666666667,0.13392857142857142,44,120,0.36666666666666664,242.49747269356158,1.0
0.003,0.8,52,1,7.466666666666667,0.13392857142857142,42,120,0.35,262.4974726935616,1.0
0.003,0.8,56,1,7.466666666666667,0.13392857142857142,39,120,0.325,282.496889292961,1.0
0.003,0.8,60,1,7.466666666666667,0.13392857142857142,39,120,0.325,302.496889292961,1.0
0.003,0.85,1,66,7.466666666666667,8.839285714285714,107,120,0.8916666666666667,7.497044304851443,1.0
0.003,0.85,2,47,7.466666666666667,6.294642857142857,98,120,0.8166666666666667,12.498047747067176,1.0
